operationNumber, size, height, averageNodeDepth, timeForOperation, operationType
960, 992, 11, 9.884073, 0.007000, insert
965, 989, 11, 9.889788, 0.002000, search
970, 989, 11, 9.890799, 0.003000, remove
975, 987, 11, 9.900709, 0.004000, search
980, 988, 11, 9.900810, 0.007000, remove
985, 985, 11, 9.909645, 0.004000, search
990, 984, 11, 9.906504, 0.006000, insert
995, 982, 11, 9.904277, 0.004000, remove
1000, 980, 11, 9.913265, 0.003000, search
1005, 977, 11, 9.922211, 0.004000, search
1010, 977, 11, 9.932446, 0.002000, search
1015, 974, 11, 9.931211, 0.003000, remove
1020, 976, 11, 9.931352, 0.004000, insert
1025, 980, 11, 9.932653, 0.003000, insert
1030, 977, 11, 9.940635, 0.002000, search
1035, 976, 11, 9.950820, 0.004000, search
1040, 977, 11, 9.949846, 0.006000, insert
1045, 975, 11, 9.948718, 0.007000, remove
1050, 973, 11, 9.958890, 0.004000, search
1055, 977, 11, 9.960082, 0.007000, insert
1060, 978, 11, 9.960123, 0.007000, insert
1065, 976, 11, 9.959016, 0.005000, remove
1070, 975, 11, 9.970256, 0.002000, search
1075, 975, 11, 9.983590, 0.004000, search
1080, 975, 11, 9.981538, 0.006000, insert
1085, 973, 11, 9.990750, 0.004000, search
1090, 971, 11, 9.987642, 0.006000, remove
1095, 971, 11, 9.998970, 0.004000, search
1100, 970, 11, 10.000000, 0.003000, remove
1105, 968, 11, 9.997934, 0.006000, remove
1110, 968, 11, 9.998967, 0.006000, insert
1115, 967, 11, 9.998966, 0.006000, remove
1120, 966, 11, 9.998965, 0.006000, remove
1125, 965, 11, 9.996891, 0.003000, remove
1130, 965, 11, 9.994819, 0.006000, remove
1135, 966, 11, 9.996894, 0.004000, remove
1140, 966, 11, 10.010352, 0.005000, search
1145, 965, 11, 10.021762, 0.005000, search
1150, 963, 11, 10.020768, 0.005000, remove
1155, 962, 11, 10.019751, 0.006000, remove
1160, 960, 11, 10.030208, 0.004000, search
1165, 963, 11, 10.040498, 0.003000, search
1170, 964, 11, 10.041494, 0.006000, remove
1175, 964, 11, 10.052905, 0.004000, search
1180, 960, 11, 10.047917, 0.007000, remove
1185, 960, 11, 10.048958, 0.006000, remove
1190, 957, 11, 10.058516, 0.004000, search
1195, 956, 11, 10.058577, 0.007000, insert
1200, 957, 11, 10.071055, 0.004000, search
1205, 958, 11, 10.070981, 0.003000, insert
1210, 962, 11, 10.072765, 0.003000, insert
1215, 963, 11, 10.073728, 0.006000, insert
1220, 962, 11, 10.086279, 0.005000, search
1225, 963, 11, 10.089304, 0.006000, insert
1230, 962, 11, 10.099792, 0.004000, search
1235, 960, 11, 10.093750, 0.006000, remove
1240, 962, 11, 10.092516, 0.003000, insert
